tier,portal,content_type,target_table,file_path,id,field,issue_type,severity,import_impact,ui_impact,pilot_impact,recommended_action,current_value_sample,notes
A,ai-academy,resources,ai_resources,ai-academy-resource-fact-checking-tool.json,ai-academy-resource-fact-checking-tool,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-gemini.json,ai-academy-resource-gemini,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-gemini.json,ai-academy-resource-gemini,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-gemini.json,ai-academy-resource-gemini,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-github-copilot.json,ai-academy-resource-github-copilot,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-github-copilot.json,ai-academy-resource-github-copilot,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-google-gemini.json,ai-academy-resource-google-gemini,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-google-gemini.json,ai-academy-resource-google-gemini,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-hallucination-checker.json,ai-academy-resource-hallucination-checker,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-hallucination-checker.json,ai-academy-resource-hallucination-checker,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-hallucination-checker.json,ai-academy-resource-hallucination-checker,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-hugging-face-course.json,ai-academy-resource-hugging-face-course,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-hugging-face-course.json,ai-academy-resource-hugging-face-course,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-hugging-face-course.json,ai-academy-resource-hugging-face-course,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-hugging-face.json,ai-academy-resource-hugging-face,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-hugging-face.json,ai-academy-resource-hugging-face,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-midjourney-2.json,ai-academy-resource-midjourney-2,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-midjourney-2.json,ai-academy-resource-midjourney-2,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-midjourney.json,ai-academy-resource-midjourney,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-midjourney.json,ai-academy-resource-midjourney,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-midjourney.json,ai-academy-resource-midjourney,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-openai-docs.json,ai-academy-resource-openai-docs,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-openai-docs.json,ai-academy-resource-openai-docs,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-openai-docs.json,ai-academy-resource-openai-docs,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-perplexity-2.json,ai-academy-resource-perplexity-2,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-perplexity-2.json,ai-academy-resource-perplexity-2,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-perplexity.json,ai-academy-resource-perplexity,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-perplexity.json,ai-academy-resource-perplexity,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-perplexity.json,ai-academy-resource-perplexity,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-prompt-engineering-guide.json,ai-academy-resource-prompt-engineering-guide,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-prompt-engineering-guide.json,ai-academy-resource-prompt-engineering-guide,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-prompt-engineering-guide.json,ai-academy-resource-prompt-engineering-guide,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-prompt-library-repo.json,ai-academy-resource-prompt-library-repo,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-prompt-library-repo.json,ai-academy-resource-prompt-library-repo,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-prompt-library-repo.json,ai-academy-resource-prompt-library-repo,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-research-assistant-ai.json,ai-academy-resource-research-assistant-ai,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-research-assistant-ai.json,ai-academy-resource-research-assistant-ai,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-research-assistant-ai.json,ai-academy-resource-research-assistant-ai,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-advanced-prompting.md,ai-academy-lesson-advanced-prompting,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-ai-ethics.md,ai-academy-lesson-ai-ethics,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-ai-for-study-2.md,ai-academy-lesson-ai-for-study-2,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-ai-for-study.md,ai-academy-lesson-ai-for-study,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-ai-for-work-2.md,ai-academy-lesson-ai-for-work-2,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-ai-for-work.md,ai-academy-lesson-ai-for-work,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-ai-hallucination.md,ai-academy-lesson-ai-hallucination,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-detecting-hallucinations.md,ai-academy-lesson-detecting-hallucinations,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-evaluating-models.md,ai-academy-lesson-evaluating-models,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-future-of-ai.md,ai-academy-lesson-future-of-ai,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-how-to-prompt.md,ai-academy-lesson-how-to-prompt,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-independent-learning.md,ai-academy-lesson-independent-learning,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-intro-to-ai-2.md,ai-academy-lesson-intro-to-ai-2,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-intro-to-ai.md,ai-academy-lesson-intro-to-ai,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-prompt-engineering-basics.md,ai-academy-lesson-prompt-engineering-basics,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-prompt-libraries.md,ai-academy-lesson-prompt-libraries,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-rag-basics.md,ai-academy-lesson-rag-basics,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-safe-ai.md,ai-academy-lesson-safe-ai,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-safety-and-security.md,ai-academy-lesson-safety-and-security,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,lessons,ai_lessons,ai-academy-lesson-workflow-automation.md,ai-academy-lesson-workflow-automation,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-ai-automation-trends.json,automation-resource-ai-automation-trends,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-ai-automation-trends.json,automation-resource-ai-automation-trends,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-ai-automation.json,automation-resource-ai-automation,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-ai-automation.json,automation-resource-ai-automation,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-api-security-best-practices.json,automation-resource-api-security-best-practices,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-api-security-best-practices.json,automation-resource-api-security-best-practices,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-apis-beginners.json,automation-resource-apis-beginners,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-apis-beginners.json,automation-resource-apis-beginners,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-automate-io-alt.json,automation-resource-automate-io-alt,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-automate-io-alt.json,automation-resource-automate-io-alt,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-automating-business-processes.json,automation-resource-automating-business-processes,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,automation,resources,automation_resources,automation-resource-automating-business-processes.json,automation-resource-automating-business-processes,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
